"...1","ContactID","Country of Programming","Gender","Nationality","Speaks.English","Speaks.Arabic","Speaks.Amazigh","Speaks.French","Age","Beneficiary.Specialization","Level.of.Education","Highest.Education.Graduation.Date","Currently.Studying","Current.Institution.Type","EFE.Graduation.Date","X..of.Days.Since.Graduation","Mailing.City","Mailing.State.Province","Last.Reached.By.Survey","Number.Days.Until.Job.Placement","Earliest.Job.Placement.Start.Date","Earliest.Job.Placement.Type","Retained.Job.as.of.last.Status.Check","Number.Days.Retained.Job","Continuously.Working","X..Of.Days.Continuously.Working","pl_grad","pl_grad_data","pl_3","pl_3_data","pl_6","pl_6_data","pl_9","pl_9_data","pl_12","pl_12_data","X3.Month.Job.Retention","X3.Month.Continuously.Working","X3.Month.Post.Placement.Data.Avail.YES","X6.Month.Job.Retention","X6.Month.Continuously.Working","X6.Month.Post.Placement.Data.Avail.YES","X9.Month.Job.Retention","X9.Month.Continuously.Working","X9.Month.Post.Placement.Data.Avail.YES","X12.Month.Job.Retention","X12.Month.Continuously.Working","X12.Month.Post.Placement.Data.Avail.YES","Contact.Record.Type.y","Application.Status","Application..Created.Date","Program.would.you.like.to.apply.","Marital.Status","Expected.Graduation.Date","Currently.Working.","Currently.Looking.for.Job.","Duration.Looking.for.Job","Main.Obstacle.to.Secure.Job","Other.Obstacle","Current.Position.Type","Current.Contract.Type","Other.Contract.Type..Current.","Fixed.Term.Contract.Length..Current.","Current.Business.Start.Date","How.Created.Current.Business","Current.Business.Registered.","Business.Generating.Revenue.","Has.Had.Internship","Current.Internship.Start.Date","Has.Had.Paid.Job","Current.Employment.Start.Date","Received.Prior.Prof.Skills.Training.","Motivation.for.Training","Other.Motivation.for.Training","How.Learned.of.EFE","X1st.Preferred.Industry.of.Employment","X2nd.Preferred.Industry.of.Employment","Preferred.Industry.Other","Commit.to.Participation...Attendance","Number.Family.Members","Number.Family.Members.Working","Monthly.Family.Income","Previous.Work.Experience","Number.of.Previous.Jobs","Job.Tenure.in.Months..First.","First.Previous.Job.Salary","Reason.Left.Job..First.","Job.Tenure.in.Months..Second.","Second.Previous.Job.Salary","Reason.Left.Job..Second.","Job.Tenure.in.Months..Third.","Third.Previous.Job.Salary","Reason.Left.Job..Third.","Received.Other.Scholarship.","Scholarship.Details","Registered.Under.Social.Security","Internally.Displaced.Person.","Lives.in.IDP.camp.or.shelter.","Against.attending.training.online.","Strength.of.Applicant.Internet","Against.working.in.mixed.environment.","Years.of.Experience","English.Proficiency","Computer.Proficiency","NumApps","months_job","sorting","Retention_6_months","Retention at 6 Months","Retention_3_months","Retention at 3 Months","Retention_9_months","Retention at 9 Months","Retention_12_months","Retention at 12 Months","ConfidencePost","ConfidencePre","ConfidenceChange","ConfidencePercent","EfficacyPost","EfficacyPre","EfficacyChange","EfficacyPercent"
1,1832,"Morocco Beneficiary","Male","Morocco",1,1,0,1,22,"Electronics / Automotive / Aerospace","Bac+2",2020-09-07,0,"NA",2021-05-21,517,"Casablanca","Casablanca-Settat",2022-04-20 09:53:00,-2,2021-05-19,"Full-time",0,166,1,336,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-20,"Job Training and Placement",NA,2021-05-20,"Yes",NA,NA,NA,NA,"Full-time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-14,"No","Improve Professional Skills",NA,"ANAPEC","Education/Training/Coaching","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",NA,"Data Not Available",25,25,0,0.00%,25,25,0,0.00%
2,3626,"Tunisia Beneficiary","Female","Tunisia",0,1,0,1,29,"No Specialization or specific area of study","Vocational diploma",2014-06-30,0,"NA",2022-01-15,278,NA,"Le Kef",2022-08-17 10:44:00,-4,2022-01-11,"Full-time",1,218,1,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2021-12-24,"Job Training and Placement",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Other","Other",NA,"DISTRIBUTION ALIMENTAIRE","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3,1856,"Morocco Beneficiary","Female","Morocco",0,1,0,1,26,"No Specialization or specific area of study","Bac+2",2019-06-30,0,"NA",2021-05-22,516,"Tangier","Tanger-Tétouan-Al Hoceïma",2021-11-03 04:57:00,2,2021-05-24,"Full-time",1,163,1,163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-24,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Improve Professional Skills",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",NA,"Data Not Available",19,20,-1,-5.00%,21,18,3,16.67%
4,955,"Palestine Beneficiary","Male","Palestine",0,1,0,0,23,"Business administration","University Degree",2020-12-30,0,"NA",2021-03-04,595,NA,"Jerusalem Suburbs",2022-04-26 08:00:00,100,2021-06-12,"Full-time",0,113,0,113,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,"Palestine Beneficiary","Accepted",2021-02-06,"Job Training and Placement","Single",NA,"No","Yes","3 Months or Less","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Improve Professional Skills",NA,"Other","Banking/Finance","Advertising/Marketing/PR",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Variable",NA,NA,NA,"Good",1,"Placed at 6 Months",3,0,"No",1,"Yes",0,"No",0,"No",20,21,-1,-4.76%,20,19,1,5.26%
5,3623,"Tunisia Beneficiary","Male","Tunisia",0,1,0,1,26,"No Specialization or specific area of study","Vocational diploma",2018-06-30,0,"NA",2022-01-15,278,NA,"Le Kef",2022-08-04 04:28:00,-4,2022-01-11,"Full-time",1,205,1,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2021-12-24,"Job Training and Placement",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Other","Other",NA,"DISTRIBUTION ALIMENTAIRE","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
6,1912,"Morocco Beneficiary","Female","Morocco",0,1,0,0,39,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Tangier","Tanger-Tétouan-Al Hoceïma",2021-06-18 07:02:00,2,2021-05-31,"Full-time",1,18,1,18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",NA,"Data Not Available",21,14,7,50.00%,22,21,1,4.76%
7,586,"Jordan Beneficiary","Female","Syria",0,1,0,0,35,NA,"Tawjihi ? Incomplete",NA,0,"NA",2021-01-30,628,NA,"Zarqa",2022-01-23 07:28:00,2,2021-02-01,"Self-Employed/Own Business",1,356,1,356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Jordan Beneficiary","Enrolled",2021-01-26,"Job Training and Placement","Single",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Friend","Cuisine","Tourism/hospitality",NA,"Yes",3,1,150,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",1,"Yes",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
8,4159,"Tunisia Beneficiary","Male","Tunisia",0,1,0,1,28,"No Specialization or specific area of study","Secondary school diploma",2016-06-30,0,"NA",2022-02-05,257,NA,"Tataouine",2022-08-04 04:50:00,-25,2022-01-11,"Full-time",1,205,1,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2022-01-26,"Job Training and Placement",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Other","Retail",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
9,1924,"Morocco Beneficiary","Female","Morocco",0,1,0,0,30,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Other EL KSAR EL KEBIR","Tanger-Tétouan-Al Hoceïma",2021-06-18 07:10:00,2,2021-05-31,"Full-time",1,18,1,18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Agribusiness/Food",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",NA,"Data Not Available",23,16,7,43.75%,25,23,2,8.70%
10,3841,"Morocco Beneficiary","Male","Morocco",0,1,0,1,25,"Social Sciences","Niveau Bac / Bac",2015-07-16,0,"NA",2022-01-02,291,"Tangier","Tanger-Tétouan-Al Hoceïma",2022-04-11 09:25:00,1,2022-01-03,"Full-time",1,98,1,98,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-12-30,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"Yes","Improve Professional Skills",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",24,20,4,20.00%,24,24,0,0.00%
